OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Englan B.O,Branch Post Office,797111,,DOYANG H PROJECT,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Longtsung B.O,Branch Post Office,797100,,DOYANG H PROJECT,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Lotsu B.O,Branch Post Office,797100,,DOYANG H PROJECT,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Moilan B.O,Branch Post Office,797100,,DOYANG H PROJECT,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Sanis B.O,Branch Post Office,797100,,DOYANG H PROJECT,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Yamhon B.O,Branch Post Office,797100,,DOYANG H PROJECT,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Bhandari B.O,Branch Post Office,797111,,DOYANG H. PROJECT,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Chukitong B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Doyang Hydel Project S.O,Sub Post Office,797100,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Elumnyu B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Humtsu B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Mekhukla B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
