OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Kashi Jharia B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Kathara S.O,Sub Post Office,829116,06549-235004,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Khaira Chatar B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Khamarbendi B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Kharkharee B.O,Branch Post Office,828125,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Koria B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Kumar Daga B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Kumirdoba B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Kunduari B.O,Branch Post Office,827010,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Kurra B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Manjura B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Narayanpur B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Olgora B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Pathuria B.O,Branch Post Office,829301,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Peterbar S.O,Sub Post Office,829121,06542-265620,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Phusro Bazar S.O,Sub Post Office,829114,06549-220229,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Pindrajora B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Pirgul B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Ponda B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Pundru B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Pupunkee Ashram B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Radhanagar B.O,Branch Post Office,827010,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Rangamatia B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Right Bank Tenughat S.O,Sub Post Office,829123,06549-230642,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Sardaha B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Satanpur B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Silphore B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Sunday Bazar S.O,Sub Post Office,829127,06559-260253,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Swang Colliery S.O,Sub Post Office,829128,,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
T.T.P.S.Lalpania S.O,Sub Post Office,829149,,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Tangtona B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Tenughat Dam S.O,Sub Post Office,829123,,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Amlabad Colliery S.O,Sub Post Office,828311,0326-2460001,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
B.M.P. IV S.O,Sub Post Office,827001,06542-258771,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
B.S.City Plant S.O,Sub Post Office,827011,06542-247730,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
B.S.City R.S. S.O,Sub Post Office,827010,06542-253724,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Balidih S.O,Sub Post Office,827014,06542-253540,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Chandan Kiyari S.O,Sub Post Office,828134,,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Chandore S.O,Sub Post Office,828121,,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Chas S.O,Sub Post Office,827013,06542-265823,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Garga Check Post S.O,Sub Post Office,827013,06542-235842,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Marafari Colony S.O,Sub Post Office,827012,06542-257888,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Sector- III S.O,Sub Post Office,827003,06542-247773,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Sector- IV S.O,Sub Post Office,827004,06542-231020,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Sector- IX S.O,Sub Post Office,827009,06542-262701,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Sector-I S.O,Sub Post Office,827001,06542-247740,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Sector-VI S.O,Sub Post Office,827006,06542-277754,CHAS,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Barkipunu B.O,Branch Post Office,829112,,Gomia,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Dania B.O,Branch Post Office,829112,,Gomia,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Hardiamo B.O,Branch Post Office,829111,,Gomia,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Hossir B.O,Branch Post Office,829111,,Gomia,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Kharki B.O,Branch Post Office,829112,,Gomia,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Nerki B.O,Branch Post Office,829112,,Gomia,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Penk B.O,Branch Post Office,829112,,Gomia,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Saram B.O,Branch Post Office,829111,,Gomia,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Birni B.O,Branch Post Office,829114,,Nawadih,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Chapri B.O,Branch Post Office,829114,,Nawadih,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Chirudih B.O,Branch Post Office,829114,,Nawadih,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Nawadih B.O,Branch Post Office,829114,,Nawadih,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Surhi B.O,Branch Post Office,829114,,Nawadih,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Arjuwa B.O,Branch Post Office,829121,,Peterbar,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Chandipur B.O,Branch Post Office,829121,,Peterbar,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Chargi B.O,Branch Post Office,829121,,Peterbar,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Dantoo B.O,Branch Post Office,829121,,Peterbar,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Mirzapur B.O,Branch Post Office,829121,,Peterbar,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Mungasarla B.O,Branch Post Office,829121,,Peterbar,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Rohar B.O,Branch Post Office,829121,,Peterbar,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
