OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Sohagmare B.O,Branch Post Office,854331,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Sonadarhat B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Sourgaon B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Tamganj B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Tamghatti B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Tarakhandah B.O,Branch Post Office,854331,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Tarbi B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Tiraskund B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Mahthawabazar B.O,Branch Post Office,854334,,ARARIA',ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Urlaha B.O,Branch Post Office,854333,,ARARIA',ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bangama B.O,Branch Post Office,854312,,ARARIA RS,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Dumuria Bisstaria B.O,Branch Post Office,854334,,ARRAIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Amba S.O,Sub Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Balia B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Bedauli B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
C.Dhongra B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Deshpur B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Dumra B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Gheura B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Mahsu B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Matpa B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Pandaria B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Parta B.O,Branch Post Office,824111,,AMBA,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Aurangabad H.O,Head Post Office,824101,06186-223165,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Aurangabad Kutchehry S.O,Sub Post Office,824101,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Bajauli B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Chauria B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
G. Kharma B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Ibrahimpur B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Ithat B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Jaipur B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Jamhor S.O,Sub Post Office,824121,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Jogia B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Kanbehari B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Karma Bhagwan B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Khadiha B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Kunda B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Manjurahi B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Naugarh B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
R. B. Nagar B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Rajpur B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Risiap B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Riyasat Mali B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Riyasat Pawai B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
S. S. College S.O,Sub Post Office,824102,06186-223137,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Silar B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Sori B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Sunurganj B.O,Branch Post Office,824102,,AURANGABAD,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Barun S.O,Sub Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Charam B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Dihara S.O,Sub Post Office,824130,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Jagatpur B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Jagdishpur B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Jhomardihra B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Kashipur Tetaria B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Purdina B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
R Pithanua B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
R S. Bigha B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Saduri Karma B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Satuhai B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Siris B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Son Nagar B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Tengra B.O,Branch Post Office,824112,,BARUN,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Agnoor B.O,Branch Post Office,824113,,DAUDNAGAR,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Akouni B.O,Branch Post Office,824113,,DAUDNAGAR,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Amona B.O,Branch Post Office,824113,,DAUDNAGAR,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Anchha B.O,Branch Post Office,824113,,DAUDNAGAR,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Arai B.O,Branch Post Office,824113,,DAUDNAGAR,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Aranda B.O,Branch Post Office,824113,,DAUDNAGAR,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Chanda B.O,Branch Post Office,824113,,DAUDNAGAR,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
Chanda B.O,Branch Post Office,824113,,DAUDNAGAR,AURANGABAD(BH),BIHAR,AURANGABAD(BIHAR),PATNA HQ,BIHAR
