OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Basantpur B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Beldongari B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Benibari B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bhejari B.O,Branch Post Office,484886,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bilaspur B.O,Branch Post Office,484886,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Chhilhiyamar B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Damehri B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Dhirutola B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Dhunmaniya B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Ghoghari B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Girari B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Jarha B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Jeelang B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Johila Project B.O,Branch Post Office,484886,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Kachhratola B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
