OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Kebang B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Korang B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Koyu B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Ledum B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Nari B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Oyan B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Pangin B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Pasighat S.O,Sub Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Rani B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Renging B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Riga B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Ruksin B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Sille B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Yagrung B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
GTC B.O,Branch Post Office,791102,,PASIGHT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Chambang B.O,Branch Post Office,791118,,CHAMBANG,KURUNG KUMEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Damin B.O,Branch Post Office,791118,,DAMIN,KURUNG KUMEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Koloriang B.O,Branch Post Office,791118,,KOLORIANG,KURUNG KUMEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Sangram B.O,Branch Post Office,791118,,KOLORIANG,KURUNG KUMEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Sarli B.O,Branch Post Office,791118,,KOLORIANG,KURUNG KUMEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Hiya B.O,Branch Post Office,791118,,NYAPIN,KURUNG KUMEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Nyapin B.O,Branch Post Office,791118,,NYAPIN,KURUNG KUMEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Palin S.O,Sub Post Office,791118,,PALIN,KURUNG KUMEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Tali B.O,Branch Post Office,791118,,TALI,KURUNG KUMEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Alubari B.O,Branch Post Office,792102,,CHOWKHAM,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Chakma B.O,Branch Post Office,792102,,CHOWKHAM,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Chowkham S.O,Sub Post Office,792102,,CHOWKHAM,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Kherem B.O,Branch Post Office,792102,,CHOWKHAM,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Kamlang Nagar B.O,Branch Post Office,792102,,KAMLANG NAGAR,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Kumari Kachari B.O,Branch Post Office,792051,,MAHADEVPUR,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Mahadevpur S.O,Sub Post Office,792051,,MAHADEVPUR,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Podumani B.O,Branch Post Office,792051,,MAHADEVPUR,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Medo B.O,Branch Post Office,792102,,MEDO,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Momong B.O,Branch Post Office,792102,,MOMONG,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Diyun B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Innao B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Jaipur B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Kumsai B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Lathao B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Manmao B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Nampong B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Namsai S.O,Sub Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Nanam B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Peyong B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Udaipur B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Wingko B.O,Branch Post Office,792103,,NAMSAI,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Sunpura S.O,Sub Post Office,792111,,SUNPURA,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Yealing B.O,Branch Post Office,792111,,SUNPURA,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Changliang B.O,Branch Post Office,792001,,TEZU,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Danglat B.O,Branch Post Office,792001,,TEZU,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Gohaingaon B.O,Branch Post Office,792001,,TEZU,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Lohitpur B.O,Branch Post Office,792001,,TEZU,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Loiliang B.O,Branch Post Office,792001,,TEZU,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Tafragram B.O,Branch Post Office,792001,,TEZU,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Tezu Covt.College B.O,Branch Post Office,792001,,TEZU,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Tezu S.O,Sub Post Office,792001,,TEZU,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Tindolong B.O,Branch Post Office,792001,,TEZU,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Wakro B.O,Branch Post Office,792102,,WAKRO,LOHIT,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
